_id,작성자,선택 옵션,별점,내용
658b9613b512fe877f82f2c4,tata***,선택 옵션 위하닭 위하소 골라담기:소시지 득근 청양고추 1+1,5,종류별로 몇가지씩 주문했어요. 
658b9613b512fe877f82f2c5,piae*****,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 불닭 1+1,5,
658b9613b512fe877f82f2c6,piae*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리 1+1,5,
658b9613b512fe877f82f2c7,piae*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리 1+1,5,
658b9613b512fe877f82f2c8,piae*****,선택 옵션 위하닭 위하소 골라담기:소시지 득근 임실치즈 1+1,5,
658b9613b512fe877f82f2c9,piae*****,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,5,
658b9613b512fe877f82f2ca,1605***************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 저염 1+1,5,
658b9613b512fe877f82f2cb,1508***************,선택 옵션 위하닭 위하소 골라담기:소시지 득근 임실치즈 1+1,5,
658b9613b512fe877f82f2cc,1508***************,선택 옵션 위하닭 위하소 골라담기:소시지 득근 청양고추 1+1,5,
658b9613b512fe877f82f2cd,1508***************,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,5,
658b9613b512fe877f82f2ce,ywt3***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리 1+1,5,
658b9613b512fe877f82f2cf,ywt3***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리 1+1,4,
658b9613b512fe877f82f2d0,twin******,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,5,
658b9613b512fe877f82f2d1,shk8************************,선택 옵션 위하닭 위하소 골라담기:시그니처 김치,5,
658b9613b512fe877f82f2d2,tooh**,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 갈릭,5,맛있게 잘먹었습니다 
658b9613b512fe877f82f2d3,tooh**,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 허브,5,맛있게 잘먹었습니다 
658b9613b512fe877f82f2d4,tooh**,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,맛있게 잘먹었습니다 
658b9613b512fe877f82f2d5,tooh**,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 저염,5,맛있게 잘먹었습니다 
658b9613b512fe877f82f2d6,ywt3***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴 1+1,4,
658b9613b512fe877f82f2d7,S|17**************,선택 옵션 위하닭 위하소 골라담기:블랙라벨 데리야끼,5,맛있어요~~맛있어요
658b9613b512fe877f82f2d8,S|17**************,선택 옵션 위하닭 위하소 골라담기:시그니처 김치,5,맛있어요~~맛있어요~~
658b9613b512fe877f82f2d9,S|17**************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 저염,5,맛있어요~~맛있어요
658b9613b512fe877f82f2da,S|17**************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,맛있어요맛있어요맛있ㅇ니요
658b9613b512fe877f82f2db,volc*******,선택 옵션 위하닭 위하소 골라담기:소시지 득근 훈제 1+1,3,
658b9613b512fe877f82f2dc,blue**********,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 갈릭,4,
658b9613b512fe877f82f2dd,2911***************,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼,5,
658b9613b512fe877f82f2de,tooh**,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,맛있게 먹겠습니다 
658b9613b512fe877f82f2df,wls8***,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 커리,5,너무맛있어요 또사먹고싶어요
658b9613b512fe877f82f2e0,ks25**,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼,5,
658b9613b512fe877f82f2e1,태지엄마,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 저염,5,맛있고다이어트식이라좋아요
658b9613b512fe877f82f2e2,ks25**,선택 옵션 위하닭 위하소 골라담기:득근 싱글 오리지널,5,
658b9613b512fe877f82f2e3,yben****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 불닭,3,맛은 그럭저럭 합니다
658b9613b512fe877f82f2e4,yben****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 양념치킨,3,맛은ㅍ그럭저럭 하네요. 
658b9613b512fe877f82f2e5,yben****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 데리야끼,5,진한게 맛있어요. 
658b9613b512fe877f82f2e6,zxr0*****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,4,굿~입니다 추천합니다 
658b9613b512fe877f82f2e7,ndal***********,선택 옵션 단호한결심 위하닭:블랙라벨 양념치킨,5,늘먹는건데 가성비가좋아요
658b9613b512fe877f82f2e8,S|11***************,선택 옵션 위하닭 위하소 골라담기:부채살 스테이크 200g,5,Nice product
658b9613b512fe877f82f2e9,anar******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 페퍼칠리,5,
658b9613b512fe877f82f2ea,anar******,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,
658b9613b512fe877f82f2eb,anar******,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 허브,5,
658b9613b512fe877f82f2ec,anar******,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 갈릭,5,
658b9613b512fe877f82f2ed,anar******,선택 옵션 위하닭 위하소 골라담기:통큰 수비드 불닭,5,
658b9613b512fe877f82f2ee,anar******,선택 옵션 위하닭 위하소 골라담기:블랙라벨 불닭,5,
658b9613b512fe877f82f2ef,영감74,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,5,
658b9613b512fe877f82f2f0,하마해,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 그릴,4,
658b9613b512fe877f82f2f1,perf****,선택 옵션 위하닭 위하소 골라담기:셰프의자부심 오리지널,5,
658b9613b512fe877f82f2f2,veto***,선택 옵션 위하닭 위하소 골라담기:시그니처 김치,5,
